Train: 5968, Depart time: 05:00, Arrival time: 00:20, Total Time: 0 days 19 hours 20 mins

Train: 851, Depart time: 22:50, Arrival time: 22:40, Total Time: 0 days 23 hours 50 mins
Train: 1154, Depart time: 18:30, Intermediate Arrival time: 21:10, Intemediate Station: CSN, Intermediate wait time: 5:35, Intermediate Departure time: 02:45, Second Train: 1156, Destination Arrival time: 03:40, Total Time: 0 days -9 hours -15 mins
Train: 1711, Depart time: 14:15, Intermediate Arrival time: 18:30, Intemediate Station: BSL, Intermediate wait time: 0:5, Intermediate Departure time: 18:35, Second Train: 1149, Destination Arrival time: 19:43, Total Time: 0 days 5 hours 33 mins
Train: 1711, Depart time: 14:15, Intermediate Arrival time: 16:18, Intemediate Station: MMR, Intermediate wait time: 9:27, Intermediate Departure time: 01:45, Second Train: 1156, Destination Arrival time: 03:40, Total Time: 0 days -1 hours -8 mins
Train: 1713, Depart time: 20:05, Intermediate Arrival time: 23:55, Intemediate Station: BSL, Intermediate wait time: 18:40, Intermediate Departure time: 18:35, Second Train: 1149, Destination Arrival time: 19:43, Total Time: 0 days 18 hours 18 mins

Train: 1154, Depart time: 15:35, Intermediate Arrival time: 15:49, Intemediate Station: DR, Intermediate wait time: 5:56, Intermediate Departure time: 21:45, Second Train: 1081, Destination Arrival time: 00:52, Total Time: 0 days 15 hours 13 mins
Train: 1154, Depart time: 15:35, Intermediate Arrival time: 16:19, Intemediate Station: TNA, Intermediate wait time: 5:46, Intermediate Departure time: 22:05, Second Train: 1081, Destination Arrival time: 00:52, Total Time: 0 days 15 hours 3 mins
Train: 1154, Depart time: 15:35, Intermediate Arrival time: 16:42, Intemediate Station: KYN, Intermediate wait time: 6:3, Intermediate Departure time: 22:45, Second Train: 1081, Destination Arrival time: 00:52, Total Time: 0 days 15 hours 20 mins
Train: 1154, Depart time: 15:35, Intermediate Arrival time: 18:25, Intemediate Station: IGP, Intermediate wait time: 5:45, Intermediate Departure time: 00:10, Second Train: 1081, Destination Arrival time: 00:52, Total Time: 0 days -8 hours -58 mins
Train: 1154, Depart time: 15:35, Intermediate Arrival time: 21:10, Intemediate Station: CSN, Intermediate wait time: 12:42, Intermediate Departure time: 09:52, Second Train: 1082, Destination Arrival time: 11:20, Total Time: 0 days 8 hours 27 mins
