'01154',CSTM CSN T F SP,10,MMR ,MANMAD JN      ,'20:05:00','20:15:00'
'01154',CSTM CSN T F SP,11,NGN ,NANDGAON       ,'20:33:00','20:34:00'
'01154',CSTM CSN T F SP,12,CSN ,CHALISGAON JN  ,'21:10:00','00:00:00'
'01156',PVR NAVI KMN SP,1,JM  ,JALAMB JN      ,'07:40:00','08:20:00'
'01156',PVR NAVI KMN SP,1,PVR ,PANDHARPUR     ,'00:00:00','16:00:00'
'01156',PVR NAVI KMN SP,2,KMN ,KHAMGAON       ,'08:40:00','00:00:00'
'01156',PVR NAVI KMN SP,2,KWV ,KURDUVADI      ,'17:10:00','17:35:00'
'01156',PVR NAVI KMN SP,3,JEUR,JEUR           ,'18:08:00','18:10:00'
'01156',PVR NAVI KMN SP,4,BGVN,BHIGWAN        ,'19:05:00','19:07:00'
'01156',PVR NAVI KMN SP,5,DD  ,DAUND JN       ,'20:10:00','20:20:00'
'01156',PVR NAVI KMN SP,6,ANG ,AHMADNAGAR     ,'21:55:00','22:00:00'
'01156',PVR NAVI KMN SP,7,BAP ,BELAPUR        ,'23:00:00','23:03:00'
'01156',PVR NAVI KMN SP,8,KPG ,KOPARGAON      ,'00:10:00','00:13:00'
'01156',PVR NAVI KMN SP,9,MMR ,MANMAD JN      ,'01:20:00','01:45:00'
'01156',PVR NAVI KMN SP,10,NGN ,NANDGAON       ,'02:10:00','02:15:00'
'01156',PVR NAVI KMN SP,11,CSN ,CHALISGAON JN  ,'02:40:00','02:45:00'
'01156',PVR NAVI KMN SP,12,PC  ,PACHORA JN     ,'03:40:00','04:25:00'
'01156',PVR NAVI KMN SP,13,JL  ,JALGAON JN     ,'04:50:00','04:55:00'
'01156',PVR NAVI KMN SP,14,BSL ,BHUSAVAL JN    ,'05:30:00','05:50:00'
'01156',PVR NAVI KMN SP,15,BDWD,BODWAD         ,'06:25:00','06:30:00'
'01156',PVR NAVI KMN SP,16,MKU ,MALKAPUR       ,'06:45:00','06:50:00'
'01156',PVR NAVI KMN SP,17,NN  ,NANDURA        ,'07:15:00','07:20:00'
'01156',PVR NAVI KMN SP,18,JM  ,JALAMB JN      ,'07:40:00','08:00:00'
'01156',PVR NAVI KMN SP,19,SEG ,SHEGAON        ,'08:10:00','08:15:00'
'01156',PVR NAVI KMN SP,20,AK  ,AKOLA JN       ,'08:45:00','08:50:00'
'01156',PVR NAVI KMN SP,21,MZR ,MURTAJAPUR     ,'09:25:00','09:30:00'
'01156',PVR NAVI KMN SP,22,BD  ,BADNERA JN     ,'10:10:00','10:15:00'
'01156',PVR NAVI KMN SP,23,NAVI,NEW AMRAVATI   ,'10:40:00','00:00:00'
'01401',NGP TTKL FARE S,1,SUR ,SOLAPUR JN     ,'00:00:00','15:20:00'
'01401',NGP TTKL FARE S,2,MO  ,MOHOL          ,'15:49:00','15:50:00'
'01401',NGP TTKL FARE S,3,MA  ,MADHA          ,'16:15:00','16:16:00'
'01401',NGP TTKL FARE S,4,KWV ,KURDUVADI      ,'16:30:00','16:50:00'
'01401',NGP TTKL FARE S,5,BTW ,BARSI TOWN     ,'17:35:00','17:37:00'
'01401',NGP TTKL FARE S,6,UMD ,USMANABAD      ,'18:15:00','18:18:00'
'01401',NGP TTKL FARE S,7,LUR ,LATUR          ,'19:50:00','20:00:00'
'01401',NGP TTKL FARE S,8,LTRR,LATUR ROAD     ,'20:30:00','20:55:00'
'01401',NGP TTKL FARE S,9,PRLI,PARLI VAIJNATH ,'22:40:00','23:05:00'
'01401',NGP TTKL FARE S,10,PBN ,PARBHANI JN    ,'01:00:00','01:05:00'
'01401',NGP TTKL FARE S,11,PAU ,PURNA JN       ,'01:35:00','01:45:00'
'01401',NGP TTKL FARE S,12,HNL ,HINGOLI DECCAN ,'04:00:00','04:01:00'
'01401',NGP TTKL FARE S,13,WHM ,WASHIM         ,'04:50:00','04:51:00'
'01401',NGP TTKL FARE S,14,AK  ,AKOLA JN       ,'07:40:00','07:55:00'
'01401',NGP TTKL FARE S,15,MZR ,MURTAJAPUR     ,'08:22:00','08:25:00'
'01401',NGP TTKL FARE S,16,BD  ,BADNERA JN     ,'09:15:00','09:20:00'
'01401',NGP TTKL FARE S,17,CND ,CHANDUR        ,'09:40:00','09:41:00'
'01401',NGP TTKL FARE S,18,DMN ,DHAMANGAON     ,'09:54:00','09:56:00'
'01401',NGP TTKL FARE S,19,PLO ,PULGAON JN     ,'10:10:00','10:11:00'
'01401',NGP TTKL FARE S,20,WR  ,WARDHA JN      ,'10:42:00','10:45:00'
'01401',NGP TTKL FARE S,21,NGP ,NAGPUR         ,'12:35:00','00:00:00'
